colony_id,agar_plate_slot,agar_plate_weight,colony_source_well,media_id,media_source_well,media_volume,destination_well
pEX01-BL21(DE3),3,68.88,A1,LB-carb,A1,500,A1
pEX01-BL21(DE3),3,68.88,B1,LB-carb,A1,500,B1
pEX01-BL21(DE3),3,68.88,C1,LB-carb,A1,500,C1
pEX01-BL21(DE3),3,68.88,D1,LB-carb,A1,500,D1
pEX01-BL21(DE3),3,68.88,E1,LB-carb,A1,500,E1
pEX01-BL21(DE3),3,68.88,F1,LB-carb,A1,500,F1
pEX01-BL21(DE3),3,68.88,G1,LB-carb,A1,500,G1
pEX01-BL21(DE3),3,68.88,H1,LB-carb,A1,500,H1
pEX02-BL21(DE3),3,68.88,A2,LB-carb,A1,500,A2
pEX02-BL21(DE3),3,68.88,B2,LB-carb,A1,500,B2
pEX02-BL21(DE3),3,68.88,C2,LB-carb,A1,500,C2
pEX02-BL21(DE3),3,68.88,D2,LB-carb,A1,500,D2
pEX02-BL21(DE3),3,68.88,E2,LB-carb,A1,500,E2
pEX02-BL21(DE3),3,68.88,F2,LB-carb,A1,500,F2
pEX02-BL21(DE3),3,68.88,G2,LB-carb,A1,500,G2
pEX02-BL21(DE3),3,68.88,H2,LB-carb,A1,500,H2
pEX03-BL21(DE3),3,68.88,A3,LB-carb,A1,500,A3
pEX03-BL21(DE3),3,68.88,B3,LB-carb,A1,500,B3
pEX03-BL21(DE3),3,68.88,C3,LB-carb,A1,500,C3
pEX03-BL21(DE3),3,68.88,D3,LB-carb,A1,500,D3
pEX03-BL21(DE3),3,68.88,E3,LB-carb,A1,500,E3
pEX03-BL21(DE3),3,68.88,F3,LB-carb,A1,500,F3
pEX03-BL21(DE3),3,68.88,G3,LB-carb,A1,500,G3
pEX03-BL21(DE3),3,68.88,H3,LB-carb,A1,500,H3
pEX04-BL21(DE3),3,68.88,A4,LB-carb,A1,500,A4
pEX04-BL21(DE3),3,68.88,B4,LB-carb,A1,500,B4
pEX04-BL21(DE3),3,68.88,C4,LB-carb,A1,500,C4
pEX04-BL21(DE3),3,68.88,D4,LB-carb,A1,500,D4
pEX04-BL21(DE3),3,68.88,E4,LB-carb,A1,500,E4
pEX04-BL21(DE3),3,68.88,F4,LB-carb,A1,500,F4
pEX04-BL21(DE3),3,68.88,G4,LB-carb,A1,500,G4
pEX04-BL21(DE3),3,68.88,H4,LB-carb,A1,500,H4
pEX05-BL21(DE3),3,68.88,A5,LB-carb,A2,500,A5
pEX05-BL21(DE3),3,68.88,B5,LB-carb,A2,500,B5
pEX05-BL21(DE3),3,68.88,C5,LB-carb,A2,500,C5
pEX05-BL21(DE3),3,68.88,D5,LB-carb,A2,500,D5
pEX05-BL21(DE3),3,68.88,E5,LB-carb,A2,500,E5
pEX05-BL21(DE3),3,68.88,F5,LB-carb,A2,500,F5
pEX05-BL21(DE3),3,68.88,G5,LB-carb,A2,500,G5
pEX05-BL21(DE3),3,68.88,H5,LB-carb,A2,500,H5
pEX06-BL21(DE3),3,68.88,A6,LB-carb,A2,500,A6
pEX06-BL21(DE3),3,68.88,B6,LB-carb,A2,500,B6
pEX06-BL21(DE3),3,68.88,C6,LB-carb,A2,500,C6
pEX06-BL21(DE3),3,68.88,D6,LB-carb,A2,500,D6
pEX06-BL21(DE3),3,68.88,E6,LB-carb,A2,500,E6
pEX06-BL21(DE3),3,68.88,F6,LB-carb,A2,500,F6
pEX06-BL21(DE3),3,68.88,G6,LB-carb,A2,500,G6
pEX06-BL21(DE3),3,68.88,H6,LB-carb,A2,500,H6
pEX07-BL21(DE3),3,68.88,A7,LB-carb,A2,500,A7
pEX07-BL21(DE3),3,68.88,B7,LB-carb,A2,500,B7
pEX07-BL21(DE3),3,68.88,C7,LB-carb,A2,500,C7
pEX07-BL21(DE3),3,68.88,D7,LB-carb,A2,500,D7
pEX07-BL21(DE3),3,68.88,E7,LB-carb,A2,500,E7
pEX07-BL21(DE3),3,68.88,F7,LB-carb,A2,500,F7
pEX07-BL21(DE3),3,68.88,G7,LB-carb,A2,500,G7
pEX07-BL21(DE3),3,68.88,H7,LB-carb,A2,500,H7
pEX08-BL21(DE3),3,68.88,A8,LB-carb,A2,500,A8
pEX08-BL21(DE3),3,68.88,B8,LB-carb,A2,500,B8
pEX08-BL21(DE3),3,68.88,C8,LB-carb,A2,500,C8
pEX08-BL21(DE3),3,68.88,D8,LB-carb,A2,500,D8
pEX08-BL21(DE3),3,68.88,E8,LB-carb,A2,500,E8
pEX08-BL21(DE3),3,68.88,F8,LB-carb,A2,500,F8
pEX08-BL21(DE3),3,68.88,G8,LB-carb,A2,500,G8
pEX08-BL21(DE3),3,68.88,H8,LB-carb,A2,500,H8
pEX09-BL21(DE3),3,68.88,A9,LB-carb,A3,500,A9
pEX09-BL21(DE3),3,68.88,B9,LB-carb,A3,500,B9
pEX09-BL21(DE3),3,68.88,C9,LB-carb,A3,500,C9
pEX09-BL21(DE3),3,68.88,D9,LB-carb,A3,500,D9
pEX09-BL21(DE3),3,68.88,E9,LB-carb,A3,500,E9
pEX09-BL21(DE3),3,68.88,F9,LB-carb,A3,500,F9
pEX09-BL21(DE3),3,68.88,G9,LB-carb,A3,500,G9
pEX09-BL21(DE3),3,68.88,H9,LB-carb,A3,500,H9
pEX010-BL21(DE3),3,68.88,A10,LB-carb,A3,500,A10
pEX010-BL21(DE3),3,68.88,B10,LB-carb,A3,500,B10
pEX010-BL21(DE3),3,68.88,C10,LB-carb,A3,500,C10
pEX010-BL21(DE3),3,68.88,D10,LB-carb,A3,500,D10
pEX010-BL21(DE3),3,68.88,E10,LB-carb,A3,500,E10
pEX010-BL21(DE3),3,68.88,F10,LB-carb,A3,500,F10
pEX010-BL21(DE3),3,68.88,G10,LB-carb,A3,500,G10
pEX010-BL21(DE3),3,68.88,H10,LB-carb,A3,500,H10
pEX011-BL21(DE3),3,68.88,A11,LB-carb,A3,500,A11
pEX011-BL21(DE3),3,68.88,B11,LB-carb,A3,500,B11
pEX011-BL21(DE3),3,68.88,C11,LB-carb,A3,500,C11
pEX011-BL21(DE3),3,68.88,D11,LB-carb,A3,500,D11
pEX011-BL21(DE3),3,68.88,E11,LB-carb,A3,500,E11
pEX011-BL21(DE3),3,68.88,F11,LB-carb,A3,500,F11
pEX011-BL21(DE3),3,68.88,G11,LB-carb,A3,500,G11
pEX011-BL21(DE3),3,68.88,H11,LB-carb,A3,500,H11
pEX012-BL21(DE3),3,68.88,A12,LB-carb,A3,500,A12
pEX012-BL21(DE3),3,68.88,B12,LB-carb,A3,500,B12
pEX012-BL21(DE3),3,68.88,C12,LB-carb,A3,500,C12
pEX012-BL21(DE3),3,68.88,D12,LB-carb,A3,500,D12
pEX012-BL21(DE3),3,68.88,E12,LB-carb,A3,500,E12
pEX012-BL21(DE3),3,68.88,F12,LB-carb,A3,500,F12
pEX012-BL21(DE3),3,68.88,G12,LB-carb,A3,500,G12
pEX012-BL21(DE3),3,68.88,H12,LB-carb,A3,500,H12
